Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Manishimwe T., Raimi L., Azubuike C.J.","57574099000;24077141700;57697397600;","Customer-centric influence of entrepreneurial marketing on business performance of hotels in Nigeria during the COVID-19 crisis",2022,"Journal of Revenue and Pricing Management","21","6",,"668","683",,1,"10.1057/s41272-022-00383-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130242980&doi=10.1057%2fs41272-022-00383-w&partnerID=40&md5=11945afc0f78ab125d49ac160b4d5503","American University of Nigeria, Yola, Nigeria; Universiti Brunei Darussalam, Bandar Seri Begawan, Brunei Darussalam","Manishimwe, T., American University of Nigeria, Yola, Nigeria; Raimi, L., American University of Nigeria, Yola, Nigeria, Universiti Brunei Darussalam, Bandar Seri Begawan, Brunei Darussalam; Azubuike, C.J., American University of Nigeria, Yola, Nigeria","The ravaging COVID-19 pandemic has forced hotels in developed countries to adopt entrepreneurial marketing (EM) practices as a resilience strategy. However, there are few studies in Nigeria on how EM practices have been used in the hotel industry for their survival and growth. The study examines the customer-centric influence of EM on business performance of hotels in Nigeria during the COVID-19 crisis. Using a cross-sectional survey design, we collected primary data from 578 owner-managers and top managers of 66 hotels in Lagos and Yola in Nigeria using structured questionnaires. Respondents were selected based on the purposive sampling technique. The data collected were analysed using descriptive and inferential statistics with the aid of statistical package for social sciences (SPSS Version 21). Three regression estimations are reported. The estimation in model 1 indicates that calculated risk-taking dimension has a significant positive influence on general performance, while the proactiveness, innovativeness, value creation, resource leveraging, opportunity to focus and customer intensity dimensions do not. The estimation in model 2 suggests that calculated risk-taking and customer intensity dimensions have a significant positive influence on revenue per room, while the other five EM dimensions do not. The estimation in model 3 indicates that calculated risk-taking dimension has a significant positive influence on market share, while the six EM dimensions do not. The owner-mangers and top managers of hotels should fortify and upscale the weak EM dimensions as a resilience strategy for recovery from the ravages of the COVID-19 crisis. We bridge the gaps in the literature by providing interesting insights into the potential value of the adoption of EM as a post-COVID-19 recovery strategy by the hotel segment of the hospitality industry in the developing context of Nigeria. We also validate the applicability of RBT in predicting the influence of EM dimensions on performance in the developing context. © 2022, The Author(s), under exclusive licence to Springer Nature Limited.","Customers; Entrepreneurial marketing; Hotels; Nigeria; Resource-based theory",,Article,"Final","",Scopus,2-s2.0-85130242980
"Onyancha O.B., Ocholla D.N.","23397584400;6602599416;","Dispersion of ICT-related subject terms in information and knowledge management publications: A Bradford analysis",2022,"Humanities and Social Sciences Communications","9","1","176","","",,,"10.1057/s41599-022-01189-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130210323&doi=10.1057%2fs41599-022-01189-2&partnerID=40&md5=7c5147da10bba33186c4042c0e1a4b36","Department of Information Science, University of South Africa, PO Box 392 Unisa, Pretoria, 0003, South Africa; Department of Information Studies, University of Zululand, X1001, KwaDlangezwa, 3886, South Africa","Onyancha, O.B., Department of Information Science, University of South Africa, PO Box 392 Unisa, Pretoria, 0003, South Africa; Ocholla, D.N., Department of Information Studies, University of Zululand, X1001, KwaDlangezwa, 3886, South Africa","The application of information and communication technologies (ICTs) in information and knowledge management (IKM) has attracted the attention of library and information Science (LIS) scholars in the recent past. The multidisciplinary and interdisciplinary nature of ICTs means that the ICT literature is published in several fields of knowledge. Although Bradford’s law of dispersion is commonly used to determine the core journals in a given field or discipline or topic of study, this study attempts to use the principles of the law to determine the core concepts of ICTs within the information and knowledge management literature. Data was obtained from EBSCO Discovery’s Library, Information Science and Technology Abstracts (LISTA) and the Library and Information Science Source (LISS) databases using a variety of keywords as search terms. The procedures of conducting a Bradford analysis were followed to determine the core subject terms in ICTs as reflected in the IKM group of articles published between 1998 and 2017. The results indicate that the application of ICTs in IKM largely occurs in the fields medicine, business and commerce, education and training (higher education and training), decision sciences, and industrial management. It was also noted that the core subjects varied from one study period to another; technology-associated subject terms were largely visible; and the dispersion of subject terms fits the Bradford’s dispersion. We however noted that the dispersion of articles according to Bradford’s zones is not accurately representative of the principles of the Law. The study has implications for collection development, searching and retrieval practices, and the application of Bradford’s law beyond the analysis of core journals or publications in not only IKM but also in the field of library and information science. © 2022, The Author(s).",,,Article,"Final","",Scopus,2-s2.0-85130210323
"Vuong Q.-H., Le T.-T., La V.-P., Nguyen H.T.T., Ho M.-T., Van Khuc Q., Nguyen M.-H.","45161334600;57205720535;57204013022;57221318661;57216039280;57200686640;57205713877;","Covid-19 vaccines production and societal immunization under the serendipity-mindsponge-3D knowledge management theory and conceptual framework",2022,"Humanities and Social Sciences Communications","9","1","22","","",,44,"10.1057/s41599-022-01034-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123110128&doi=10.1057%2fs41599-022-01034-6&partnerID=40&md5=2cef3abc0a6f18283fa9eedc98ccdac3","Centre for Interdisciplinary Social Research, Phenikaa University, Hanoi, 100803, Viet Nam; AISDL, Vuong & Associates, Dong Da, Hanoi, 100000, Viet Nam; Center for Economic Development Studies and Faculty of Political Economy, VNU University of Economics and Business, Vietnam National University, Hanoi, 100000, Viet Nam","Vuong, Q.-H., Centre for Interdisciplinary Social Research, Phenikaa University, Hanoi, 100803, Viet Nam; Le, T.-T., Centre for Interdisciplinary Social Research, Phenikaa University, Hanoi, 100803, Viet Nam, AISDL, Vuong & Associates, Dong Da, Hanoi, 100000, Viet Nam; La, V.-P., Centre for Interdisciplinary Social Research, Phenikaa University, Hanoi, 100803, Viet Nam; Nguyen, H.T.T., Centre for Interdisciplinary Social Research, Phenikaa University, Hanoi, 100803, Viet Nam; Ho, M.-T., Centre for Interdisciplinary Social Research, Phenikaa University, Hanoi, 100803, Viet Nam; Van Khuc, Q., Center for Economic Development Studies and Faculty of Political Economy, VNU University of Economics and Business, Vietnam National University, Hanoi, 100000, Viet Nam; Nguyen, M.-H., Centre for Interdisciplinary Social Research, Phenikaa University, Hanoi, 100803, Viet Nam, AISDL, Vuong & Associates, Dong Da, Hanoi, 100000, Viet Nam","Since the outbreak of the Coronavirus disease 2019 (Covid-19), tremendous efforts have been made by scientists, health professionals, business people, politicians, and laypeople around the world. Covid-19 vaccines are one of the most crucial innovations that help fight against the virus. This paper attempts to revisit the Covid-19 vaccines production process by employing the serendipity-mindsponge-3D creativity management theory. Vaccine production can be considered an information process and classified into three main stages. The first stage involved the processes of absorbing information (e.g., digital data and open science) and rejecting unhelpful information (e.g., misinformation and fake news) for effectively acquiring useful insights. Useful insights were later employed by experts, enterprises, governments, and international organizations through interdisciplinary coordinated efforts for developing vaccines within a short period. Finally, the appearance of multiple types of vaccines enabled more strategic options for vaccine distribution and administration. Findings from this vaccine creativity management process could be used as critical lessons for further improvements of vaccination programs. © 2022, The Author(s).",,,Review,"Final","",Scopus,2-s2.0-85123110128
"Jelen G., Babic J., Podobnik V.","57220058891;55992186700;15136935400;","A multi-agent system for context-aware electric vehicle fleet routing: A step towards more sustainable urban operations",2022,"Journal of Cleaner Production","374",,"134047","","",,,"10.1016/j.jclepro.2022.134047","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138105917&doi=10.1016%2fj.jclepro.2022.134047&partnerID=40&md5=4afb106360b9212174c9aad1de082b5f","University of Zagreb, Faculty of Electrical Engineering and Computing, Zagreb, Croatia","Jelen, G., University of Zagreb, Faculty of Electrical Engineering and Computing, Zagreb, Croatia; Babic, J., University of Zagreb, Faculty of Electrical Engineering and Computing, Zagreb, Croatia; Podobnik, V., University of Zagreb, Faculty of Electrical Engineering and Computing, Zagreb, Croatia","This paper presents a multi-agent system for context-aware routing of electric vehicle fleets, which provides a means for cost-effective planning and utilization of resources in contemporary urban operations. The multi-agent system consists of three main parts: Model, Routing Algorithms and Platform. The case study of cleaning urban areas in the city of Split with electric cleaners is used to evaluate the multi-agent system. The model consists of three main entities: Electric Vehicle, Charging Station and Depot. The electric vehicle is defined more generally to ensure the application and reusability of the model in different business and research domains. The routing algorithms of the multi-agent system are defined with artificial intelligence utilization models. The utilization models predict the use of parking lots and charging stations, based on which the routing algorithms navigate the electric vehicles in the space. The utilization models use the CatBoost machine learning method and a contextually enriched dataset that uses point-of-interest data as context. The multi-agent platform for contextual routing of electric vehicles is used for validation and evaluation of multi-agent models and comparative analysis of routing algorithms under defined contextual conditions. Using context-aware routing algorithms, the multi-agent system for the case study showed a 5.6% improvement in urban cleaning operations and an 18.5% improvement in vehicle charging at charging stations. © 2022 Elsevier Ltd","Contextually enriched data; Data science; Electric vehicle routing problem; Multi-agent system; Sustainable urban operations","Cost effectiveness; Electric vehicles; Fleet operations; Learning systems; Reusability; Vehicle routing; Case-studies; Charging station; Context-Aware; Contextually enriched data; Electric vehicle routing problem; Routings; Sustainable urban operation; Urban operations; Vehicle fleets; Vehicle Routing Problems; Multi agent systems",Article,"Final","",Scopus,2-s2.0-85138105917
"Hallioui A., Herrou B., Santos R.S., Katina P.F., Egbue O.","57220038256;57191857365;57202880937;39361629100;55258442700;","Systems-based approach to contemporary business management: An enabler of business sustainability in a context of industry 4.0, circular economy, competitiveness and diverse stakeholders",2022,"Journal of Cleaner Production","373",,"133819","","",,,"10.1016/j.jclepro.2022.133819","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137266940&doi=10.1016%2fj.jclepro.2022.133819&partnerID=40&md5=807dcb94770fa99eeeea74e9ce875b75","Industrial Techniques Laboratory, Center for Doctoral Studies in Sciences and Techniques and Medical Sciences, Faculty of Sciences and Techniques of Fez, Sidi Mohamed Ben Abdellah University, Fez, Morocco; Superior School of Technology of Fez, Sidi Mohamed Ben Abdellah University, Fez, Morocco; GOVCOPP-University of Aveiro, Aveiro, Portugal; Department of Informatics and Engineering Systems, University of South Carolina Upstate, Spartanburg, SC, United States","Hallioui, A., Industrial Techniques Laboratory, Center for Doctoral Studies in Sciences and Techniques and Medical Sciences, Faculty of Sciences and Techniques of Fez, Sidi Mohamed Ben Abdellah University, Fez, Morocco; Herrou, B., Industrial Techniques Laboratory, Center for Doctoral Studies in Sciences and Techniques and Medical Sciences, Faculty of Sciences and Techniques of Fez, Sidi Mohamed Ben Abdellah University, Fez, Morocco, Superior School of Technology of Fez, Sidi Mohamed Ben Abdellah University, Fez, Morocco; Santos, R.S., GOVCOPP-University of Aveiro, Aveiro, Portugal; Katina, P.F., Department of Informatics and Engineering Systems, University of South Carolina Upstate, Spartanburg, SC, United States; Egbue, O., Department of Informatics and Engineering Systems, University of South Carolina Upstate, Spartanburg, SC, United States","Sustainability is a core feature of 21st-century businesses for which the management approach can serve as a lever. Fourth Generation Management arises as a systems-based approach for managing contemporary businesses before the advent of Industry 4.0 and during low awareness of the Circular Economy. While 4th Generation Management provides value to business by considering several resources, stakeholders, and interactions, making businesses customer-oriented, it fails to address the sustainability issue for contemporary businesses in the current context of Industry 4.0, Circular Economy, Competitiveness, and Stakeholders. Indeed, it fails to make businesses more contemporary (i.e., more open and sustainable) to adapt to their context. Moreover, in the literature, there is no work discussing how Sustainability, Industry 4.0, Circular Economy, Competitiveness, and diverse Stakeholders as contemporary issues are accounted for in business management. The main aim of this study is to propose a Re-engineered 4th Generation Management as a systems-based approach, enabling today's business to be oriented toward customer and sustainability. We have reviewed 181 articles published between 2005 and 2022 from Scopus, Web of Science, and Science Direct databases to pursue such a goal. The novelty of this work relies on presenting a systems-based approach, which is best suited for sustainable businesses in the context of Industry 4.0 digitalization technologies (e.g., Artificial intelligence, Blockchain, Cloud computing, and Big data analytics), Circular Economy, Stakeholders, and Competitiveness. Furthermore, propositions are formulated to reflect on the suggested framework based on recent literature. At the end of this work, research implications and future directions are provided. © 2022 Elsevier Ltd","Competitiveness; Industry 4.0; Re-engineered 4th generation management; Stakeholders; Sustainability; Systems-based approach","Cloud analytics; Competition; Data Analytics; Industry 4.0; Business customers; Business management; Business sustainability; Circular economy; Competitiveness; Core features; Fourth generation; Re-engineered 4th generation management; Stakeholder; System-based approach; Sustainable development",Review,"Final","",Scopus,2-s2.0-85137266940
"Loutfi A.A.","57700231800;","A framework for evaluating the business deployability of digital footprint based models for consumer credit",2022,"Journal of Business Research","152",,,"473","486",,1,"10.1016/j.jbusres.2022.07.057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135900695&doi=10.1016%2fj.jbusres.2022.07.057&partnerID=40&md5=905cb48913cbe0e8b7a7fd0e1fcc9f73","NTNU Business School, Norwegian University of Science and Technology, NTNU Postboks 8900, Torgarden, Trondheim  7491, Norway","Loutfi, A.A., NTNU Business School, Norwegian University of Science and Technology, NTNU Postboks 8900, Torgarden, Trondheim  7491, Norway","Every time we interact with online digital services, we generate large amounts of data that reveal our shopping habits, social interactions, and much more. We refer to these data collectively as the user-generated digital footprint (UGDF). Today, there is growing interest in using UGDF data as an alternative to conventional financial data in building consumer credit models—UGDF models. Unfortunately, we also observe a hype where the models’ business deployability is reduced to simplistic technical metrics, namely, the model's prediction accuracy. This study argues that this is a misleading oversimplification of the financial sector's business realities as it ignores vital dimensions such as the model's economic viability. Therefore, we develop a framework for evaluating the business deployability of UGDF models for consumer credit using a design science research methodology. The framework is composed of seven criteria: Data accessibility, data coverage, data timeliness, data authenticity, cost of deployment, interpretability, and compliance. © 2022 The Author","Alternative Data; Artificial Intelligence; Digital Finance; Digital Footprint; FinTech",,Article,"Final","",Scopus,2-s2.0-85135900695
"Wei X., Taecharungroj V.","57202931548;57009026800;","How to improve learning experience in MOOCs an analysis of online reviews of business courses on Coursera",2022,"International Journal of Management Education","20","3","100675","","",,,"10.1016/j.ijme.2022.100675","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132760597&doi=10.1016%2fj.ijme.2022.100675&partnerID=40&md5=d1b5dacdf92134169d1240203048248a","Senior Lecturer of Business Administration Division Mahidol University International College, Thailand","Wei, X., Senior Lecturer of Business Administration Division Mahidol University International College, Thailand; Taecharungroj, V., Senior Lecturer of Business Administration Division Mahidol University International College, Thailand","This study enriched the research horizon of the social sciences and contents of MOOCs by providing stakeholders with authentic data-driven recommendations to better conceptualize, design, develop and deliver MOOCs in today's higher education context. Key factors driving positive/negative learning experiences in business MOOCs were identified and explored. A topic modelling algorithm—Latent Dirichlet allocation (LDA)—was used to examine 144,946 online reviews of 729 business courses on Coursera between August 7, 2015 and August 16, 2021. Two major themes and 11 topics emerged as MOOC delivery (professor, information, comprehension, assessment and materials) and subject matter (finance, marketing, people management, computer skills, technology and project management). A textual salience-valence analysis was employed to analyze the factors driving positive/negative learning experiences regarding MOOC delivery. Findings suggested that 1) business MOOCs should value the importance of instructors' professional and celebrity image to appeal to learners, 2) course design and structure should be easy and simple to manage by learners, 3) course contents, information and assessment should be challenging rather than hard, and 4) the application and validation of peer reviews in both learning process and assessment should be more responsive to eliminate potential issues that could negatively impact learning experiences. © 2022 Elsevier Ltd","Coursera; MOOC learning experience; Online reviews; Sentiment analysis; Textual analysis",,Article,"Final","",Scopus,2-s2.0-85132760597
"Lara-Bocanegra A., García-Fernández J., Gálvez-Ruiz P., Grimaldi-Puyana M., Bohórquez Gómez-Millán M.R.","57191885789;55956610500;57208982227;56695219600;57749472400;","Does background matter? Analysis of the influence of sex, socioeconomic status and the existence of an entrepreneurial family member as a precursor to entrepreneurship in university students of Sport Sciences",2022,"Journal of Hospitality, Leisure, Sport and Tourism Education","31",,"100394","","",,,"10.1016/j.jhlste.2022.100394","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132231557&doi=10.1016%2fj.jhlste.2022.100394&partnerID=40&md5=68cf320fb41f6ae6a2985be48e661aa1","Department of Physical Education and Sport, University of Seville, Seville, Spain; Department of Social Psychology, University of Seville, Seville, Spain; Faculty of Law and Social Sciences, Valencian International University, Valencia, Spain","Lara-Bocanegra, A., Department of Physical Education and Sport, University of Seville, Seville, Spain; García-Fernández, J., Department of Physical Education and Sport, University of Seville, Seville, Spain; Gálvez-Ruiz, P., Faculty of Law and Social Sciences, Valencian International University, Valencia, Spain; Grimaldi-Puyana, M., Department of Physical Education and Sport, University of Seville, Seville, Spain; Bohórquez Gómez-Millán, M.R., Department of Social Psychology, University of Seville, Seville, Spain","This study aims to analyze the backgrounds of the entrepreneurial behaviors of university students of the Degree of Physical Activity and Sports Sciences (DPASS), taking into account the differences based on sex, the existence of an enterprising family member and the socioeconomic level. Data was collected using an online survey with 181 third and fourth course DPASS students (127 men and 54 women). The results indicate that the sex and socioeconomic level do not influence entrepreneurial intention, while the existence of a family member close to the entrepreneurial community does influence it. From the University itself, spaces for knowledge and/or encounter of entrepreneurial subjects should be promoted that allow students to have close to them and to know of clear examples of entrepreneurship that can extrapolate their concerns, experiences and/or help them in the beginning of the business adventure. © 2022","Enterprising family member; Entrepreneurial intentions; Sex; Socioeconomic level; Sport entrepreneurship; University student",,Article,"Final","",Scopus,2-s2.0-85132231557
"Sierra J., Yassim M., Suárez-Collado Á.","57208398978;57200634622;55813389100;","Together we can: enhancing key 21st-century skills with international virtual exchange",2022,"Education and Training","64","6",,"826","843",,,"10.1108/ET-05-2021-0171","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140267529&doi=10.1108%2fET-05-2021-0171&partnerID=40&md5=1d5a0f8a13520053abf7fb45bfcf6d10","Department of Applied Economics, Research Center on Global Governance, Educational Research Institute, University of Salamanca, Salamanca, Spain; University of Greenwich, Greenwich, United Kingdom; Department of Political Science, Research Center on Global Governance, University of Salamanca, Salamanca, Spain","Sierra, J., Department of Applied Economics, Research Center on Global Governance, Educational Research Institute, University of Salamanca, Salamanca, Spain; Yassim, M., University of Greenwich, Greenwich, United Kingdom; Suárez-Collado, Á., Department of Political Science, Research Center on Global Governance, University of Salamanca, Salamanca, Spain","Purpose: This research reveals how a virtual exchange (VE) can foster transnational collaboration in higher education, assist students acquire key learning outcomes and raise awareness regarding the complexities affecting development policy and sustainability. The purpose of this paper is to address these issues. Design/methodology/approach: Overall 50 students from two universities in Spain and the United Kingdom, enrolled on two different degree courses (Global Studies and Marketing), cooperated in multidisciplinary teams to analyze real development policies and initiatives. The authors collected quantitative and qualitative data to assess the students' perceptions of the methodology. Findings: The students perceived the VE to be of great value, enriching their educational experience by having a positive effect on their overall learning and fostering internationalization. A high number of participants declared the teaching and learning methodology was useful to assist them in reaching crucial cognitive, skill-based and affective educational objectives, and to help them understand how development policy works while also raising awareness regarding real-world complexity. Practical implications: This methodology proved valuable in helping students acquire the set of skills expected from today's graduates in economics, political science and marketing. This active learning and pedagogical innovation component provides some interesting conclusions contributing toward widening the adoption of VEs in higher education contexts. Originality/value: The increasing complexity of the globalized world makes it challenging for higher education institutions to develop multidisciplinary approaches to education to foster sustainable development. The experience provided offered the students an online international experience at their home institutions. Consequently, the research elaborates on how VE can be applied in economics, business, management and political science courses to enrich learning experience by applying theory in a practical way. © 2022, Emerald Publishing Limited.","Active learning; Awareness; Internationalization; Sustainability; Virtual exchange",,Article,"Final","",Scopus,2-s2.0-85140267529
"Escobar C.A., Macias D., McGovern M., Hernandez-de-Menendez M., Morales-Menendez R.","57195069380;57222720291;36155365800;57193119480;6602603177;","Quality 4.0 – an evolution of Six Sigma DMAIC",2022,"International Journal of Lean Six Sigma","13","6",,"1200","1238",,,"10.1108/IJLSS-05-2021-0091","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129859949&doi=10.1108%2fIJLSS-05-2021-0091&partnerID=40&md5=7c479057cc7325102bbe2ba980de2cde","Department of Global Research and Development, General Motors Company, Warren, MI, United States; Department of Graduate Studies of the School of Engineering and Sciences, Tecnológico de Monterrey, Monterrey, Mexico; Department of Engineering and Sciences, Tecnológico de Monterrey, Monterrey, Mexico","Escobar, C.A., Department of Global Research and Development, General Motors Company, Warren, MI, United States; Macias, D., Department of Graduate Studies of the School of Engineering and Sciences, Tecnológico de Monterrey, Monterrey, Mexico; McGovern, M., Department of Global Research and Development, General Motors Company, Warren, MI, United States; Hernandez-de-Menendez, M., Department of Engineering and Sciences, Tecnológico de Monterrey, Monterrey, Mexico; Morales-Menendez, R., Department of Engineering and Sciences, Tecnológico de Monterrey, Monterrey, Mexico","Purpose: Manufacturing companies can competitively be recognized among the most advanced and influential companies in the world by successfully implementing Quality 4.0. However, its successful implementation poses one of the most relevant challenges to the Industry 4.0. According to recent surveys, 80%–87% of data science projects never make it to production. Regardless of the low deployment success rate, more than 75% of investors are maintaining or increasing their investments in artificial intelligence (AI). To help quality decision-makers improve the current situation, this paper aims to review Process Monitoring for Quality (PMQ), a Quality 4.0 initiative, along with its practical and managerial implications. Furthermore, a real case study is presented to demonstrate its application. Design/methodology/approach: The proposed Quality 4.0 initiative improves conventional quality control methods by monitoring a process and detecting defective items in real time. Defect detection is formulated as a binary classification problem. Using the same path of Six Sigma define, measure, analyze, improve, control, Quality 4.0-based innovation is guided by Identify, Acsensorize, Discover, Learn, Predict, Redesign and Relearn (IADLPR2) – an ad hoc seven-step problem-solving approach. Findings: The IADLPR2 approach has the ability to identify and solve engineering intractable problems using AI. This is especially intriguing because numerous quality-driven manufacturing decision-makers consistently cite difficulties in developing a business vision for this technology. Practical implications: From the proposed method, quality-driven decision-makers will learn how to launch a Quality 4.0 initiative, while quality-driven engineers will learn how to systematically solve intractable problems through AI. Originality/value: An anthology of the own projects enables the presentation of a comprehensive Quality 4.0 initiative and reports the approach’s first case study IADLPR2. Each of the steps is used to solve a real General Motors’ case study. © 2022, Carlos Alberto Escobar, Daniela Macias, Megan McGovern, Marcela Hernandez-de-Menendez and Ruben Morales-Menendez.","Artificial intelligence; Big data; Quality control; Smart manufacturing",,Article,"Final","",Scopus,2-s2.0-85129859949
